Date,EURUSD,EURGBP,EURCHF,EURDKK,EURSEK,EURNOK,EURPLN
2015-01-01,1.2098628282546997,0.7761600017547607,1.2027900218963623,7.445859909057617,9.430290222167969,9.021960258483887,4.282820224761963
2015-01-02,1.2089413404464722,0.7759000062942505,1.2021000385284424,7.446400165557861,9.42969036102295,8.996000289916992,4.280519962310791
2015-01-05,1.194643259048462,0.7814800143241882,1.2015000581741333,7.442709922790527,9.501199722290039,9.089400291442871,4.294620037078857
2015-01-06,1.193901538848877,0.7824000120162964,1.2013299465179443,7.441609859466553,9.452159881591797,9.112700462341309,4.291619777679443
2015-01-07,1.1875356435775757,0.7844399809837341,1.2008999586105347,7.441140174865723,9.413200378417969,9.194299697875977,4.315820217132568
2015-01-08,1.1836000680923462,0.78329998254776,1.2008999586105347,7.440100193023682,9.432299613952637,9.115300178527832,4.292900085449219
2015-01-09,1.1796069145202637,0.7816299796104431,1.2009299993515015,7.438899993896484,9.462189674377441,8.983280181884766,4.2804999351501465
2015-01-12,1.187070369720459,0.781470000743866,1.20100998878479,7.438650131225586,9.521349906921387,9.068380355834961,4.268899917602539
2015-01-13,1.1831519603729248,0.7797999978065491,1.2007999420166016,7.438899993896484,9.553400039672852,9.15820026397705,4.268899917602539
2015-01-14,1.1778285503387451,0.7763000130653381,1.2007999420166016,7.437689781188965,9.492500305175781,9.116999626159668,4.282800197601318
2015-01-15,1.1785920858383179,0.7735099792480469,1.2007999420166016,7.437600135803223,9.530099868774414,8.979700088500977,4.255300045013428
2015-01-16,1.1637378931045532,0.7664999961853027,0.9941999912261963,7.431980133056641,9.4350004196167,8.840889930725098,4.3043999671936035
2015-01-19,1.1566041707992554,0.7635999917984009,0.9923999905586243,7.429299831390381,9.360340118408203,8.737899780273438,4.306399822235107
2015-01-20,1.1597968339920044,0.7684999704360962,1.0199999809265137,7.430419921875,9.43809986114502,8.857999801635742,4.3282999992370605
2015-01-21,1.1546944379806519,0.7623000144958496,1.0096999406814575,7.4334001541137695,9.4399995803833,8.871500015258789,4.328499794006348
2015-01-22,1.1615345478057861,0.7667499780654907,0.9989299774169922,7.434800148010254,9.477399826049805,8.79699993133545,4.295499801635742
2015-01-23,1.1346745491027832,0.7558000087738037,0.9886999726295471,7.442450046539307,9.342880249023438,8.683380126953125,4.250800132751465
2015-01-26,1.1125450134277344,0.7422699928283691,0.9805399775505066,7.441299915313721,9.305700302124023,8.684200286865234,4.201499938964844
2015-01-27,1.1247708797454834,0.7455599904060364,1.0139000415802002,7.448599815368652,9.325779914855957,8.7568998336792,4.21120023727417
2015-01-28,1.1367381811141968,0.7483999729156494,1.0219000577926636,7.4421000480651855,9.30679988861084,8.793299674987793,4.2316999435424805
2015-01-29,1.1281461715698242,0.7451900243759155,1.0233999490737915,7.444799900054932,9.363499641418457,8.831500053405762,4.239099979400635
2015-01-30,1.13355553150177,0.7516000270843506,1.0455000400543213,7.4415998458862305,9.362500190734863,8.863100051879883,4.209000110626221
2015-02-02,1.1309019327163696,0.7494999766349792,1.0418000221252441,7.440229892730713,9.341400146484375,8.730199813842773,4.1809000968933105
2015-02-03,1.1341726779937744,0.754610002040863,1.051300048828125,7.44320011138916,9.428549766540527,8.672619819641113,4.185200214385986
2015-02-04,1.145737886428833,0.756600022315979,1.0597000122070312,7.4436798095703125,9.433899879455566,8.631099700927734,4.168600082397461
2015-02-05,1.131874680519104,0.7455999851226807,1.0479300022125244,7.442749977111816,9.389399528503418,8.632200241088867,4.160900115966797
2015-02-06,1.147196888923645,0.7484999895095825,1.0576000213623047,7.44290018081665,9.460570335388184,8.61775016784668,4.164400100708008
2015-02-09,1.1314393281936646,0.7425000071525574,1.0480999946594238,7.442299842834473,9.522299766540527,8.612799644470215,4.156499862670898
2015-02-10,1.1326953172683716,0.7442600131034851,1.0471999645233154,7.442379951477051,9.465100288391113,8.605400085449219,4.181700229644775
2015-02-11,1.1321951150894165,0.7417200207710266,1.048799991607666,7.444399833679199,9.419400215148926,8.573200225830078,4.192599773406982
2015-02-12,1.131196141242981,0.7419599890708923,1.0505000352859497,7.443399906158447,9.497750282287598,8.67549991607666,4.196800231933594
2015-02-13,1.140393853187561,0.7408699989318848,1.0606199502944946,7.443999767303467,9.615699768066406,8.714099884033203,4.162399768829346
2015-02-16,1.1400039196014404,0.7397800087928772,1.0621000528335571,7.442800045013428,9.57979965209961,8.631699562072754,4.173500061035156
2015-02-17,1.1334012746810913,0.7379999756813049,1.0564700365066528,7.443309783935547,9.547690391540527,8.590109825134277,4.174099922180176
2015-02-18,1.1404719352722168,0.7426000237464905,1.0676300525665283,7.443220138549805,9.490750312805176,8.573800086975098,4.1880998611450195
2015-02-19,1.1400039196014404,0.7383999824523926,1.0736000537872314,7.443999767303467,9.519700050354004,8.57800006866455,4.182000160217285
2015-02-20,1.1366735696792603,0.7369999885559082,1.0789999961853027,7.444200038909912,9.570520401000977,8.621299743652344,4.165900230407715
2015-02-23,1.1381484270095825,0.7394999861717224,1.0705000162124634,7.456679821014404,9.540399551391602,8.581500053405762,4.165500164031982
2015-02-24,1.1332985162734985,0.7333999872207642,1.077299952507019,7.456550121307373,9.53499984741211,8.63759994506836,4.177800178527832
2015-02-25,1.1339025497436523,0.7335500121116638,1.0774999856948853,7.461249828338623,9.529600143432617,8.600700378417969,4.155200004577637
2015-02-26,1.1363636255264282,0.7318999767303467,1.0781999826431274,7.467160224914551,9.415499687194824,8.5625,4.156429767608643
